ch1,ch2,ch3,ch4
782.4908447,804.2490845,753.4798584,770.8058472
778.0585938,803.4432373,753.0769043,762.3442993
799.0109863,811.5018311,757.1062012,781.2820435
808.6813354,812.3076782,764.7619019,781.2820435
800.2197876,818.3516235,774.0292969,772.8204956
803.0402832,836.8864746,763.1502075,778.4615479
805.8607788,844.1392212,754.6886597,787.3259888
799.8168335,810.6959839,753.4798584,784.1025391
789.3406372,804.2490845,760.3296509,776.8497925
797.399292,799.4139404,772.4176025,786.1171875
802.234436,807.8754883,769.1941528,787.7289429
795.7875366,830.0366211,769.5970459,788.131897
782.0878906,813.9194336,767.5823975,773.2234497
779.6703491,823.9926758,763.9560547,759.9267578
780.8791504,847.3626099,757.5091553,754.2857056
779.267395,843.7362671,775.2380981,757.5091553
781.6849976,835.2747192,762.3442993,763.9560547
784.1025391,825.6043701,759.5238037,767.5823975
782.8937988,805.4578857,784.5054932,769.5970459
775.2380981,814.3223267,772.8204956,766.7765503
776.8497925,835.6776733,765.567749,774.432251
775.6410522,836.0805664,778.8644409,780.0732422
769.5970459,832.0512695,775.2380981,774.432251
771.2088013,822.7838745,772.4176025,771.2088013
780.0732422,798.6080322,780.0732422,782.4908447
792.967041,801.8314819,772.8204956,790.1465454
787.3259888,826.0073242,778.4615479,781.6849976
783.699646,834.065918,787.7289429,774.0292969
791.7582397,840.9157715,790.1465454,788.131897
793.7728882,856.6300659,808.2783813,796.9963379
784.1025391,851.7948608,794.9816895,784.1025391
779.267395,854.2124634,775.6410522,783.699646
786.1171875,873.1502075,784.5054932,796.5933838
786.5201416,892.8937988,790.5494385,796.1904907
784.5054932,909.4139404,789.3406372,793.3699341
782.4908447,907.8021851,782.0878906,788.9377441
786.5201416,903.3699341,776.8497925,791.7582397
815.1282349,817.1428833,799.8168335,826.0073242
801.4285889,848.9743652,798.6080322,819.9633789
790.1465454,867.9121094,794.1758423,809.8901367
800.2197876,869.1208496,806.666687,817.5457764
795.7875366,852.600708,805.8607788,821.1721802
791.7582397,827.6190186,798.6080322,821.5750732
772.4176025,803.4432373,784.9084473,794.5787354
765.9707031,761.9414063,783.2966919,786.1171875
778.8644409,730.5128174,796.5933838,804.6520386
782.4908447,778.8644409,808.2783813,805.4578857
782.8937988,796.1904907,802.234436,790.5494385
778.8644409,765.164856,792.5640869,786.9230957
782.0878906,736.5567627,793.3699341,782.0878906
791.3552856,743.8095093,799.0109863,787.7289429
790.9523926,712.7838745,791.3552856,796.9963379
782.8937988,698.2783813,786.9230957,795.7875366
774.835144,764.3589478,794.5787354,789.3406372
774.835144,784.9084473,791.3552856,789.3406372
795.3846436,810.6959839,797.8021851,806.666687
793.3699341,806.2637329,796.9963379,794.1758423
775.6410522,828.0219727,792.1611938,782.0878906
775.6410522,874.3589478,783.699646,782.8937988
791.7582397,807.4725342,789.7435913,803.0402832
801.4285889,761.5384521,801.0256348,810.2930298
791.3552856,799.8168335,785.7142944,803.8461304
777.6557007,797.8021851,779.6703491,780.4761963
792.1611938,755.8974609,792.1611938,793.7728882
797.399292,759.1208496,775.6410522,800.6226807
792.5640869,820.366272,780.0732422,784.1025391
799.0109863,807.8754883,795.3846436,794.1758423
792.5640869,763.9560547,807.0695801,788.9377441
798.2051392,743.0036621,808.2783813,799.8168335
781.6849976,743.0036621,782.8937988,792.1611938
768.7911987,767.1795044,786.5201416,785.7142944
770.4029541,763.5531006,792.967041,789.7435913
780.8791504,780.0732422,790.5494385,798.6080322
